src,tgt
C(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(=O)NC(NC(=O)C(=O)CCc1ccccc1)C(=O)NNC(Cc1ccc(O)cc1)C(=O)C(=O)[O-])NC(=O)C(Cc1ccc(O)cc1)N[NH3+],*C(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(=O)NC(NC(=O)C(=O)C(*)Cc1ccccc1)C(=O)NNC(Cc1ccc(O)cc1)C(=O)C(=O)[O-])NC(=O)C(Cc1ccc(O)cc1)N[NH3+]
CCCCC(CCCOC(=O)CC)=NOC(=O)C(C)Oc1ccccc1Cl,*CCCCC(CCCOC(=O)CC*)=NOC(=O)C(C)Oc1ccccc1Cl
CCCN(C)C(=O)CCCCC[NH+](Cc1ccc(-c2ccc(C[NH+](CCCCCC(=O)NC)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC,*CCCN(C)C(=O)CCCCC[NH+](Cc1ccc(-c2ccc(C[NH+](CCCCCC(=O)N(*)C)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC
C(=O)Nc1cc(NC2OC(CO)C(O)C(O)C2[NH3+])ccc1-c1ccnc(CN2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c1,*C(=O)Nc1cc(NC2OC(CO)C(O)C(O)C2[NH3+])ccc1-c1ccnc(C(*)N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c1
Oc1nc(NC(=O)Nc2cc(Cl)ccc2)cnc1C#N,*Oc1nc(NC(=O)Nc2cc(Cl)ccc2*)cnc1C#N
C=CC(OC)C(OC(N)=O)C(C)=CC(C)C(O)C(CC(C)CC1=C(NCCC(=O)[O-])C(=O)C=C(N)C1=O)OC,*C=CC(OC)C(OC(N)=O)C(C)=CC(C)C(O)C(CC(C)CC1=C(NCCC(=O)[O-])C(=O)C=C(N*)C1=O)OC
C=CC=CC=C(C)C(CC1CCC(C)C(O)(C(=O)C(=O)N2CCCCC2C(=O)OC(CC(=O)C(C)C=C(C)C(O)C(OC)C=O)C(C)CC2CCC(OC(=O)CCC(=O)OC3CCC4C5=C(C(OC(C)=O)CC34C)C3(C)C(=C(O)C5=O)C(=CN(C)CCC[NH+](C)C)C(=O)OC3COC)C(OC)C2)O1)OC,*C=CC=CC=C(C)C(CC1CCC(C)C(O)(C(=O)C(=O)N2CCCCC2C(=O)OC(CC(=O)C(C)C=C(C)C(O)C(OC)C(*)=O)C(C)CC2CCC(OC(=O)CCC(=O)OC3CCC4C5=C(C(OC(C)=O)CC34C)C3(C)C(=C(O)C5=O)C(=CN(C)CCC[NH+](C)C)C(=O)OC3COC)C(OC)C2)O1)OC
C(C)(NC(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=S)Nc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)[O-])c1)C(C)O)C(=O)NC(CC(=O)[O-])C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)[O-],*C(C)(NC(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=S)Nc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)[O-])c1)C(C)O)C(=O)NC(CC(=O)[O-])C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)[O-])C(=O)NC(*)(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)[O-]
C1NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(CC(N)=O)NC(=O)C(NC(=O)CNC(=O)C([NH3+])C(C)CC)CCC(=O)NCCCCC(C(N)=O)NC(=O)C(CO)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCCC[NH3+])NC(=O)C2CCCN2C(=O)CNC1=O,*C1NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(*)NC(=O)C([NH3+])C(C)CC)CCC(=O)NCCCCC(C(N)=O)NC(=O)C(CO)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCCC[NH3+])NC(=O)C2CCCN2C(=O)CNC1=O
c1nc(-c2nc(-c3nc(C(=O)NC(CCC(=O)[O-])C(=O)NCCCCCC(=O)[O-])cs3)ccc2-c2nc(C(=O)NC(CC(=O)NC)c3nc(C(=O)NC(c4nc(C(=O)NCC(=O)NCC(O)c5ccccc5)c(COC)s4)C(C)C)c(C)s3)cs2)cs1,*c1nc(-c2nc(-c3nc(C(=O)NC(CCC(=O)[O-])C(=O)NCCCCCC(=O)[O-])cs3)ccc2-c2nc(C(=O)NC(CC(=O)NC)c3nc(C(=O)NC(c4nc(C(=O)NCC(=O)NC(*)C(O)c5ccccc5)c(COC)s4)C(C)C)c(C)s3)cs2)cs1
CC1C=CCC(CC(OC)C(C)C(O)CC(O)C(C)C(OC(=O)C=CC(C)=CCC(O)CC2CCCC(CC(CC(O)CC(O)C(C)C(O)C(C)C(O)C(C)CCC3CC(OC)CC(C)O3)OC)O2)C(C)C(O)C(C)CCC2CC(OC)CC(C)O2)O1,*CC1C=CCC(CC(OC)C(C)C(O)CC(O)C(C)C(OC(=O)C=CC(C)=CCC(O)CC2CCCC(CC(CC(O)CC(O)C(C)C(O*)C(C)C(O)C(C)CCC3CC(OC)CC(C)O3)OC)O2)C(C)C(O)C(C)CCC2CC(OC)CC(C)O2)O1
NC(=O)CC(NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C(=O)NC(CNC(=O)C1CC[NH2+]C1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NCCc1c[nH]c2ccccc12,*NC(=O)CC(NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C(=O)NC(CNC(=O)C1CC[NH2+]C1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(*)Cc1c[nH]c2ccccc12
CCCN(CC(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCC)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C[NH3+])C(=O)NC(CCC(C)C)C(=O)N(CC)CC(N)=O)C(=O)C([NH3+])CCCNC(N)=[NH2+],*CCCN(CC(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCC)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C[NH3+])C(=O)NC(CCC(C)C)C(=O)N(CC*)CC(N)=O)C(=O)C([NH3+])CCCNC(N)=[NH2+]
C=Cc1cc2c(OC3CC(NC4(C(=O)[N-]S(=O)(=O)C5CC5)CC4C=C)N(C(=O)CC4CCCCC4)C3)cc(-c3ccccc3)nc2cc1OC,*C=Cc1cc2c(OC3CC(NC4(C(=O)[N-]S(=O)(=O)C5CC5)CC4C=C)N(C(=O)C(*)C4CCCCC4)C3)cc(-c3ccccc3)nc2cc1OC
CC(C)Oc1ccc(NC(=O)Nc2ccc(C(F)(F)F)cc2)cc1C(=O)N(CC(C)CCN(C)C(=O)Cc1ccccc1)C(C)CO,*CC(C)Oc1ccc(NC(=O)Nc2ccc(C(F)(F)F)cc2)cc1C(=O)N(CC(C)C(*)CN(C)C(=O)Cc1ccccc1)C(C)CO
CCOCCOCC(COC(=O)C=Cc1ccccc1)OCCOCCO,*CCOCCOCC(COC(=O)C=Cc1ccccc1)OCCOCCO*
C(CC=CCC(CC(=O)NC1(C(=O)NCCC(N)=O)CCCCC1)c1ccc(CP(=O)([O-])O)cc1)Cc1cccc2ccccc12,*C(CC=CCC(CC(=O)NC1(C(=O)NC(*)CC(N)=O)CCCCC1)c1ccc(CP(=O)([O-])O)cc1)Cc1cccc2ccccc12
C1=C2NC3(CC(c4ccccc4)[NH2+]C(c4ccccc4)C3)N=C2c2c(c([O-])c(C)c3c2C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)CO)O3)C1=O,*C1=C2NC3(CC(c4ccccc4)[NH2+]C(c4ccccc4)C3)N=C2c2c(c([O-])c(C)c3c2C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(*)O)O3)C1=O
CCOc1ccccc1OCCOCCOCCOCCOc1ccccc1OCCO,*CCOc1ccccc1OCCOCCOCCOCCOc1ccccc1OCCO*
C(=O)C1CCCN1C(=O)C(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(C)C)NC(=O)CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]cn1)NC(=O)CNC(=O)C(NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C(C)O,*C(=O)C1CCCN1C(=O)C(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(C)C)NC(=O)CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]cn1)NC(=O)CNC(=O)C(NC(=O)C(*)NC(=O)C(Cc1ccccc1)NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C(C)O
CCc1cc(OC)cc(OC)c1C(=O)OC(C)CCCC=O,*CCc1cc(OC)cc(OC)c1C(=O)OC(C)CCCC(*)=O
C(=O)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)(CC(C)C(=O)C(C)C1N(CCCSc2nc3cc(OC)ccc3s2)C(=O)OC1(C)CCC)OC,*C(=O)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)(CC(C)C(=O)C(C)C1N(CCCSc2nc3cc(OC)ccc3s2)C(=O)OC1(C)C(*)CC)OC
CC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(O)cc1)N)C(=O)N(C)C(C)C(=O)NC(CCC[NH+]=C(N)N)C(=O)NCC(N)=O,*CC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(O)cc1)N*)C(=O)N(C)C(C)C(=O)NC(CCC[NH+]=C(N)N)C(=O)NCC(N)=O
[NH+](Cc1ccc(-c2cn(CCn3ccc4ccccc43)nn2)cc1)C(C)C(O)C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)O,*[NH+](Cc1ccc(-c2cn(CCn3ccc4ccccc43)nn2)cc1)C(C)C(O)C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(*)(C)O
C(C)C(O)C(C)(OC)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)OC,*C(C)C(O)C(C)(OC)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(*)(C)OC
CCC(OC)C(OC(N)=O)C(C)=CC(C)C(O)C(CC(C)CC1=C(NCC(C)O)C(=O)C=C(N)C1=O)OC,*CCC(OC)C(OC(N)=O)C(C)=CC(C)C(O)C(CC(C)CC1=C(NCC(C)O)C(=O)C=C(N*)C1=O)OC
CCC(NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C([O-])=[NH+]C(CC[NH3+])C([O-])=[NH+]C(Cc1ccccc1)C([O-])=[NH+]C(CCCNC(N)=[NH2+])C([O-])=[NH+]C(Cc1c[nH]c2ccccc12)C([O-])=[NH+],*CCC(NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C([O-])=[NH+]C(CC[NH3+])C([O-])=[NH+]C(Cc1ccccc1)C([O-])=[NH+]C(CCCNC(N)=[NH2+])C([O-])=[NH+]C(Cc1c[nH]c2ccccc12)C([O-])=[NH+]*
CC(c1cc(-c2cc(F)c(F)cc2)ccn1)N1CCC(c2c(F)ccc(Cl)c2F)=CC1=O,*CC(c1cc(-c2cc(F)c(F)cc2*)ccn1)N1CCC(c2c(F)ccc(Cl)c2F)=CC1=O
Oc1cc(CC2c3c(cc(OC)c(OC)c3Oc3cc4c(cc3OC)CCN(C)C4)CCN2C)c(NC(=O)NCCCC)cc1OC,*Oc1cc(CC2c3c(cc(OC)c(OC)c3Oc3cc4c(cc3OC)CCN(C)C4*)CCN2C)c(NC(=O)NCCCC)cc1OC
c1cc2c(OC3CC(C(=O)NC4(C(=O)[N-]S(=O)(=O)C5CC5)CC4C=C)N(C(=O)C(NC(=O)OC4CCC4)C4CCCC4)C3)cc(OCC)nc2cc1OC,*c1cc2c(OC3CC(C(=O)NC4(C(=O)[N-]S(=O)(=O)C5CC5)CC4C=C)N(C(=O)C(NC(=O)OC4CC(*)C4)C4CCCC4)C3)cc(OCC)nc2cc1OC
C=CC(C)=CC(C)C(CC)OC(=O)CC(O)C(C)C(OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C([NH+](C)C)C1O)CCC[NH2+]CCc1ccccc1,*C=CC(C)=CC(C)C(CC)OC(=O)CC(O)C(C)C(OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C([NH+](C)C)C1O)C(*)CC[NH2+]CCc1ccccc1
CCCCC(=O)NCC(=O)NCCCCC(NC(=O)C(CCCCNC(C)=S)NC(=O)C(CCCC[NH3+])NC(=O)C(CCCCNC(=O)CN)NC(C)=O)C(=O)NC(CCSC)C(N)=O,*CCCCC(=O)NCC(=O)NCCCCC(NC(=O)C(CCCCNC(C)=S)NC(=O)C(CCCC[NH3+])NC(=O)C(CCCCNC(=O)CN*)NC(C)=O)C(=O)NC(CCSC)C(N)=O
CC[NH2+]C(C(=O)NC1(C(=O)NC(Cc2cccc(Cl)c2)C(=O)N)CCCC1)C(C)CC,*CC[NH2+]C(C(=O)NC1(C(=O)NC(Cc2cccc(Cl)c2)C(=O)N*)CCCC1)C(C)CC
CC1NC(=O)C(C(C)CC)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(C(C)CC)NC(=O)C(CO)NC(=O)C(Cc2ccccc2)NC(=O)C(CCCC)NC(=O)CNC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)C2CCCN2C(=O)C(CC(N)=O)NC1=O,*CC1NC(=O)C(C(C)CC)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(C(C)CC)NC(=O)C(CO)NC(=O)C(Cc2ccccc2)NC(=O)C(CCCC)NC(=O)C(*)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)C2CCCN2C(=O)C(CC(N)=O)NC1=O
CCc1cccc(CC(NC=O)C(O)C[NH2+]C2CC3(CCC3)Oc3ccc(CC)cc32)c1,*CCc1cccc(CC(NC(*)=O)C(O)C[NH2+]C2CC3(CCC3)Oc3ccc(CC)cc32)c1
CCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc1ccccc1)NC(=O)C1(NC(=O)C(C)NC(=O)CCCC)CCc2ccccc2C1)C(N)=O,*CCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc1ccccc1)NC(=O)C1(NC(=O)C(C*)NC(=O)CCCC)CCc2ccccc2C1)C(N)=O
CCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc1ccc2ccccc2c1)NC=O)C(=O)NN,*CCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc1ccc2ccccc2c1)NC(*)=O)C(=O)NN
C=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(C=COC1(C)Oc2c(C)c(O)c3c(O)c(N)cc(OCC(=O)N(CC)CCC)c3c2C1=O)OC,*C=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(C=COC1(C)Oc2c(C)c(O)c3c(O)c(N*)cc(OCC(=O)N(CC)CCC)c3c2C1=O)OC
C=CC1CC(OC(=O)c2ccccc2C(=O)OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)CC1CO,*C=CC1CC(OC(=O)c2ccccc2C(=O)OCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)CC1C(*)O
CCCc1cc(OC)cc2nc(-c3ccccc3)cc(OC3CC(C(=O)NC4(C(=O)[N-]S(=O)(=O)C5CC5)CC4C=C)N(C(=O)CC4CCCCC4)C3)c12,*CCCc1cc(OC)cc2nc(-c3ccccc3)cc(OC3CC(C(=O)NC4(C(=O)[N-]S(=O)(=O)C5CC5)CC4C=C)N(C(=O)C(*)C4CCCCC4)C3)c12
CCC(CCCNC(=O)C)NS(=O)(=O)c1ccccc1[N+](=O)[O-],*CCC(CCCNC(=O)C*)NS(=O)(=O)c1ccccc1[N+](=O)[O-]
COCC(CNC=C1C(=O)C([O-])=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)C(=CNCC3COCCOCCOCCOCCOCCO3)C(=O)C([O-])=C4C(C)C)c(O)c21)OCCOCCO,*COCC(CNC=C1C(=O)C([O-])=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)C(=CNCC3COCCOCCOCCOCCOCCO3)C(=O)C([O-])=C4C(C)C)c(O)c21)OCCOCCO*
CC1CCC(C)C(O)(C(=O)C(=O)N2CCCCC2C(=O)OC(CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)CC)C(C)CC2CCC(n3ncnn3)C(OC)C2)O1,*CC1CCC(C)C(O)(C(=O)C(=O)N2CCCCC2C(=O)OC(CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(*)C)C(C)CC2CCC(n3ncnn3)C(OC)C2)O1
[NH+]1CCC2C(c3[nH]ccc4c5cccc(O)c5nc3-4)=CC3OC4CCCC=CC5CC2(C1)C3N54,*[NH+]1CCC2C(c3[nH]ccc4c5cccc(O)c5nc3-4)=CC3(*)OC4CCCC=CC5CC2(C1)C3N54
Nc1c2oc3cccc(OCCCC[NH+]4CCN(CCn5ccnc5)CC4)c3nc-2c2c3c(c(C)c([O-])c2c1=O)OC(C)(OC=CC(OC)C(C)C(OC(C)=O)CC)C3=O,*Nc1c2oc3cccc(OCCCC[NH+]4CCN(CCn5ccnc5)CC4)c3nc-2c2c3c(c(C)c([O-])c2c1=O)OC(C)(OC=CC(OC)C(C)C(OC(C)=O)C(*)C)C3=O
CC(C)C1C(C)C(OC(=O)c2ccccc2)C2(O)C(O)C3(CO)OC3C3C4OC5OC4(C(=C)C)C(OC(C)=O)C(C)C3(O5)C12,*CC(C)C1C(C)C(OC(=O)c2ccccc2)C2(O)C(O)C3(CO)OC3C3C4OC5(*)OC4(C(=C)C)C(OC(C)=O)C(C)C3(O5)C12
C(=O)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)(CC(C)C(=O)C(C)C(OC(=O)NCCNC(=O)C#Cc1cccc2ccccc12)C(C)(O)CCC)OC,*C(=O)C(C)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)(CC(C)C(=O)C(C)C(OC(=O)NCCNC(=O)C#Cc1cccc2ccccc12)C(C)(O)C(*)CC)OC
CCCC(=O)NCCCC(CCC)NS(=O)(=O)c1ccccc1[N+](=O)[O-],*CCCC(=O)NCCCC(CCC*)NS(=O)(=O)c1ccccc1[N+](=O)[O-]
NC(=O)C(CC(N)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1CC2CCCCC2N1C(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CCCCCNC(=O)C([NH3+])CSCc1cccc(CS)c1,*NC(=O)C(CC(N)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1CC2CCCCC2N1C(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CCCCCNC(=O)C([NH3+])CSCc1cccc(CS*)c1
[NH+]1CCC2C(c3nccc4c3[nH]c3c(O)cccc34)=CC(O)C3[NH+]4CCC(=Cc5ccc(OC)c(OC)c5)C(=O)CCC4CC23C1,*[NH+]1CCC2C(c3nccc4c3[nH]c3c(O)cccc34)=CC(*)(O)C3[NH+]4CCC(=Cc5ccc(OC)c(OC)c5)C(=O)CCC4CC23C1
CCCC1NC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,*CCCC1NC(=O)C(*)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O
C(C)CC(C)C(O)C(C#N)=CC=CCCC1CCCC1C(=O)OCc1cn(-c2ccc(C(=O)[O-])cc2)nn1,*C(C)CC(C)C(O)C(C#N)=CC=CCC(*)C1CCCC1C(=O)OCc1cn(-c2ccc(C(=O)[O-])cc2)nn1
CCc1ccc(N(C)C)c(O)c1-c1ccc(O)cc1CCc1ccc(O)c(O)c1,*CCc1ccc(N(C)C)c(O)c1-c1ccc(O)cc1CCc1ccc(O)c(O*)c1
CC(O)CCCC(O)CCCC(O)CCCC(O)CC(O)CCCC(C)=CC(=O)OC(CC(O)CCCC(O)CCCC(O)C)C(C)(C)C,*CC(O)CCCC(O)CCCC(O)CCCC(O)CC(O)CCCC(C)=CC(=O)OC(CC(O)CCCC(O)CCCC(O)C*)C(C)(C)C
NCCCCCCCCNCCCCCCCCNC(=[NH2+])NCC=C,*NCCCCCCCCN(*)CCCCCCCCNC(=[NH2+])NCC=C
CC1(C)OC2(CC[NH+](CCc3ccc(Cl)c(Cl)c3)CC2)OC(C(C)C(=O)OC(CC)C(C)(O)CO)C(C)C1OC1OC(C)CC([NH+](C)C)C1O,*CC1(C)OC2(CC[NH+](CCc3ccc(Cl)c(Cl)c3)CC2)OC(C(C)C(=O)OC(CC)C(C)(O)C(*)O)C(C)C1OC1OC(C)CC([NH+](C)C)C1O
CC(NC(=O)C(CC(C)C)NC(=O)C(Cc1cnnn1)NC(=O)OCc1ccccc1)C(=O)OC,*CC(NC(=O)C(CC(C)C)NC(=O)C(Cc1cn(*)nn1)NC(=O)OCc1ccccc1)C(=O)OC
C(NC(=O)C(C)C(C)NC(=O)C(Cc1ccccc1)NC(=O)CC(NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)CNC)C(=O)[O-])C(=O)[O-],*C(NC(=O)C(C)C(C)NC(=O)C(Cc1ccccc1)NC(=O)CC(NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)CN(*)C)C(=O)[O-])C(=O)[O-]
C(=O)C(CC)NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(COCC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)NC)C(C)C,*C(=O)C(CC)NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(COCC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(*)C)C(C)C
c1nc(C(NC(=O)c2nc(C(CC(=O)NC)NC(=O)c3csc(-c4ccc(-c5nc(N(CCCCCC(=O)[O-])C(=O)OC6CCC(C(=O)[O-])CC6)cs5)nc4-c4csc(-c5csc(CC(O)c6ccccc6)n5)n4)n3)sc2C)C(C)C)sc1COC,*c1nc(C(NC(=O)c2nc(C(CC(=O)NC)NC(=O)c3csc(-c4ccc(-c5nc(N(CCCCCC(=O)[O-])C(=O)OC6CCC(C(=O)[O-])CC6)cs5)nc4-c4csc(-c5csc(C(*)C(O)c6ccccc6)n5)n4)n3)sc2C)C(C)C)sc1COC
CC=C(C)CC(O)C(=CC=C(C)C)C(C)(C)O,*CC=C(C)CC(O)C(=CC=C(C)C*)C(C)(C)O
Cc1ccc(OC(C)=O)c(Oc2ccc(CCCOC(C)=O)cc2)c1,*Cc1ccc(OC(C)=O)c(Oc2ccc(CCC(*)OC(C)=O)cc2)c1
C=CC=C(C)C(CC1CCC(C)C(O)(C(=O)C(=O)N2CCCCC2C(=O)OC(CC(=O)C(C)C=C(C)C(O)COC)C(C)CC2CCC(O)C(OC)C2)O1)N(O)C(=O)OC(C)C,*C=CC=C(C)C(CC1CCC(C)C(O)(C(=O)C(=O)N2CCCCC2C(=O)OC(CC(=O)C(C)C=C(C)C(O)C(*)OC)C(C)CC2CCC(O)C(OC)C2)O1)N(O)C(=O)OC(C)C
Cc1ccc(Oc2cc(C)ccc2OCc2ccccc2)cc1,*Cc1ccc(Oc2cc(C*)ccc2OCc2ccccc2)cc1
NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)SCC(NC(C)=O)C(=O)NC(CC(N)=O)C=O,*NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)SCC(NC(C)=O)C(=O)NC(CC(N)=O)C(*)=O
CCC[n+]1cccc(CCCCCCCCCCCC[n+]2ccccc2)c1,*CCC[n+]1cccc(CCCCCCCCCCCC[n+]2cccc(*)c2)c1
C(C)CC(C)(O)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)C(OC1CC(C)(OC)C(OC(=O)CC[NH2+]CCNc2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)C(C)O1)C(C)C(=O)OC(CC)C(C)(O)CO,*C(C)CC(C)(O)C(OC1OC(C)CC([NH+](C)C)C1O)C(C)C(OC1CC(C)(OC)C(OC(=O)CC[NH2+]CCNc2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)C(C)O1)C(C)C(=O)OC(CC)C(C)(O)C(*)O
CC(NC(C)=O)C(=O)NC(C)C(=O)NC(CS)C(O)CC(C)C(=O)NCCCC,*CC(NC(C)=O)C(=O)NC(C)C(=O)NC(CS*)C(O)CC(C)C(=O)NCCCC
CCCCCCCCCCCC=CCC(O)C(O)C(O)C(O)C(O)CNC(=O)CCCC,*CCCCCCCCCCCC=CCC(O)C(O)C(O)C(O)C(O)CNC(=O)C(*)CCC
CCCCCCc1cc(O)c(-c2c(O)cc(O)cc2CC)c(O)c1,*CCCCCCc1cc(O)c(-c2c(O)cc(O)cc2CC*)c(O)c1
CC[NH+]1CCC2C(c3nccc4c3[nH]c3ccc(NC(=O)CCC)cc34)=CC(O)C3[NH+]4CCCCC=CC4CC23C1,*CC[NH+]1CCC2C(c3nccc4c3[nH]c3ccc(NC(=O)CCC)cc34)=CC(*)(O)C3[NH+]4CCCCC=CC4CC23C1
CC(=O)NCCCOCCCNC(=O)CC=Cc1cc(OC)cc(O)c1C=O,*CC(=O)NCCCOCCCNC(=O)CC=Cc1cc(OC)cc(O)c1C(*)=O
CC(=O)NC(CCCC)C(=O)NC(CCCCNC(C)=S)C(=O)NC(CCCCN)C(N)=O,*CC(=O)NC(CCCC)C(=O)NC(CCCCNC(C)=S)C(=O)NC(CCCCN*)C(N)=O
